filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2011,2013,ALB,USA,n.a.,n.a.,n.a.,n.a.,"Sky Petroleum, Inc. v.ÊMinistry of Economy, Trade, and Energy of Albania et al",UNCITRAL,n.a.,Albania-US BIT,Oil and gas,OIL,Approximately US$1b,1000,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2014,pending,ALB,ITA,n.a.,n.a.,n.a.,n.a.,"Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l. v. Republic of Albania ",ICSID,ARB/14/26,Energy Charter Treaty,Waste management,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,ALB,GRC,n.a.,n.a.,n.a.,n.a.,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. v. Republic of Albania,ICSID,ARB/11/24,Greece-Albania BIT,Oil and gas,OIL,Û1.4m,1.8,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1995,1997,ALB,GRC,n.a.,n.a.,n.a.,n.a.,Leaf Tobacco A. Michaelides SA and Greek-Albanian Leaf Tobacco & Co. SA v. Republic of Albania ,ICSID,ARB/95/1,Albania-Greece BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,ALB,CZE,n.a.,n.a.,n.a.,n.a.,CEZ v. The Republic of Albania,UNCITRAL,n.a.,Energy Charter Treaty ,Electric power concession,UTL,Û200m ,267,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1994,1999,ALB,GRC,n.a.,n.a.,n.a.,n.a.,Tradex Hellas SA v. Republic of Albania,ICSID,ARB/94/2,"Albania-Greece BIT, Albania Investment Law (1993)",Agricultural enterprise,AGR,US$3107074 plus interest and costs,3.1,yes,state,0,0,no,n.a.,n.a.,n.a.
2007,2007,ALB,GRC,n.a.,n.a.,n.a.,n.a.,Pantechniki SA Contractors & Engineers v. Republic of Albania ,ICSID,ARB/07/21 ,"Albania-Greece BIT, Albania Investment Law (1993)",Highway and bridge construction project,UTL,At least US$1.8m,1.8,yes,state,0,0,no,n.a.,n.a.,n.a.
2011,2013,ALB,ITA,n.a.,n.a.,n.a.,n.a.,Burimi SRL and Eagle Games SH.A v. Republic of Albania,ICSID,ARB/11/18,"Albania-Italy BIT, Albania Investment Law (1993)",Gaming,SER,"Albanian Lek 1,034,794,456 plus interest",10.2,yes,state,0,0,no,n.a.,n.a.,n.a.
2001,2001,ARE,ITA,n.a.,n.a.,n.a.,n.a.,"Impregilo, S.p.A & Rizzani De Eccher S.p.A. v. United Arab Emirates ",ICSID,ARB/01/1,Italy-United Arab Emirates BIT,Real estate (mosque),RE,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2007,ARE,ITA,n.a.,n.a.,n.a.,n.a.,Hussein Nauman Soufraki v. United Arab Emirates,ICSID,ARB/02/7,Italy-United Arab Emirates BIT,Port terminal concession,SER,Between US$580m and US$2.5b,580,yes,state,0,0,yes,2004,2005,upheld
