identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct4,2,1993,AMT v. Zaire,"American Manufacturing & Trading, Inc. v. Republic of Zaire",(ICSID Case No. ARB/93/1),"Congo, Democratic Republic of the - United States of America BIT (1984)","Congo, Democratic Republic of the",United States of America,Decided in favour of investor,Award dated 21 February 1997,.,.,.,.,,,,,,,,"For details on case, see LexisNexis. George Washington International Law Review. 2003. Accessed online at:http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T26626374926&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T26626374906&cisb=22_T26626374928&treeMax=true&treeWidth=0&csi=12492&docNo=1",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct7,3,1994,Gruslin v. Malaysia (I),Philippe Gruslin v. Malaysia (I),(ICSID Case No. ARB/94/1),BLEU (Belgium-Luxembourg Economic Union) - Malaysia BIT (1979),Malaysia,Belgium,Settled,"Order taking note of the discontinuance issued by the Tribunal dated 24 April 1996, pursuant to Arbitration Rule 43(1)",.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct8,4,1994,Saar Papier v. Poland (I),Saar Papier Vertriebs GmbH v. Republic of Poland (I),N/A,Germany - Poland BIT (1989),Poland,Germany,Decided in favour of investor,Interim Award on Jurisdiction dated 17 August 1994,.,.,.,.,,,,,,,,"For case details, see UNCTAD ""Saar Papier v. Poland (I)"" accessed online at http://investmentpolicyhub.unctad.org/ISDS/Details/4","For case details, see Christine Chinkin & Freya Baetens ""Sovereignty, Statehood and State Responsibility"" (2015) accessed online via Google Books.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct9,5,1995,Goetz v. Burundi (I),Antoine Goetz and others v. Republic of Burundi (I),(ICSID Case No. ARB/95/3),BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Burundi,Belgium,Settled,Decision on Liability dated 2 September 1998,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct10,6,1995,Leaf Tobacco v. Albania,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A. v. Republic of Albania,(ICSID Case No. ARB/95/1),Albania - Greece BIT (1991),Albania,Greece,Settled,"Order of the Secretary-General taking note of the discontinuance dated 30 January 1997, pursuant to Arbitration Rule 44",.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct11,7,1996,France Telecom v. Poland,France Telecom v. Republic of Poland,N/A,France - Poland BIT (1989),Poland,France,Settled,Data not available,yes,.,.,yes,6172323372,"Orange Polska's total assets as of December 31, 2017. source: http://www.orange-ir.pl/sites/default/files/OPL_Standalone%20report_FY2017.pdf",2017,Planned investment in Poland via promised cellular contracts,Unclear,Still holds assets,0,"For reinvestment data, see Orange Annual Report (2015) accessed online at https://www.orange.com/en/content/download/38035/1158107/version/1/file/ORAG_1603401_RA_2015_GB_MEL.pdf","For case details, see UNCTAD ""France Telecom v. Poland"" accessed online at http://investmentpolicyhub.unctad.org/ISDS/Details/7",For reinvestment data see: http://www.orange-ir.pl/sites/default/files/OPL_Standalone%20report_FY2017.pdf,.,.,.,.,.,.,France Telecom changed name to Orange and operates under subsidiary Orange Polska in Poland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct12,8,1996,Ameritech v. Poland,Ameritech v. Republic of Poland,N/A,Poland - United States of America BIT (1990),Poland,United States of America,Settled,Data not available,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct13,9,1996,Biedermann v. Kazakhstan,"Biedermann International, Inc. v. The Republic of Kazakhstan and The Association for Social and Economic Development of Western Kazakhstan ""Intercaspian""",(SCC Case No. 97/1996),Kazakhstan - United States of America BIT (1992),Kazakhstan,United States of America,Decided in favour of investor,Award dated 2 August 1999,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct14,10,1996,Saar Papier v. Poland (II),Saar Papier Vertriebs GmbH v. Republic of Poland (II),N/A,Germany - Poland BIT (1989),Poland,Germany,Decided in favour of State,Interim Award dated 24 January 2000,.,.,.,.,,,,,,,,"For case details, see UNCTAD ""Saar Papier v. Poland (II)"" accessed online at http://investmentpolicyhub.unctad.org/ISDS/Details/9",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct15,11,1996,FEDAX v. Venezuela,FEDAX N.V. v. The Republic of Venezuela,(ICSID Case No. ARB/96/3),"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Venezuela, Bolivarian Republic of",Netherlands,Decided in favour of investor,Decision on Jurisdiction dated 11 July 1997,.,.,.,.,,,,,,,,"For details on case, see ""Fedax N.V. v. The Republic of Venezuela, ICSID Case No. ARB/96/3."" Accessed online at: https://www.italaw.com/sites/default/files/case-documents/ita0315_0.pdf",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
